Date,Product ID,Product Name,Department Id,Category Id,Category Name,Inventory Level,Total Units Sold,Total Sales,Total Profit,Units Ordered,Inventory Forecast,Product Price,Competitor Pricing,Cost to Company,Total Inventory,month,quarter,is_month_start,is_month_end
2017-04-01,19,Nike Men's Fingertrap Max Training Shoe,2,2,Soccer,3.0,2.0,249.9799958,106.3199997,2.0,3.0,124.9899979,131.84,91.43,1.0,4,2,True,False
2017-04-01,24,Elevation Training Mask 2.0,2,2,Soccer,16.0,12.0,959.87998206,-90.47999948,11.0,16.0,79.98999786,77.92,61.96,4.0,4,2,True,False
2017-04-01,35,adidas Brazuca 2014 Official Match Ball,2,3,Baseball & Softball,7.0,5.0,799.9500275,122.73000191900002,5.0,7.0,159.9900055,168.25,110.27,2.0,4,2,True,False
2015-01-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,26.0,18.0,629.82001486,-305.26999618,18.0,26.0,34.99000168,36.7,24.53,8.0,1,1,True,False
2015-02-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,26.0,20.0,699.80002208,174.66000368,17.0,18.0,34.99000168,38.26,22.64,6.0,2,1,True,False
2015-03-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,25.0,13.0,454.87001414,117.380002387,15.0,19.0,34.99000168,33.77,21.73,12.0,3,1,True,False
2015-04-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,51.0,32.0,1119.68001538,296.799999249,30.0,39.0,34.99000168,34.08,23.36,19.0,4,2,True,False
2015-05-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,56.0,25.0,874.75002664,288.320002203,25.0,37.0,34.99000168,34.78,26.7,31.0,5,2,True,False
2015-06-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,54.0,16.0,559.84001152,84.880003944,18.0,23.0,34.99000168,32.82,23.68,38.0,6,2,True,False
2015-07-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,76.0,30.0,1049.70002736,108.94000438,28.0,38.0,34.99000168,32.4,26.4,46.0,7,3,True,False
2015-08-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,70.0,20.0,699.80002586,135.910001281,20.0,24.0,34.99000168,34.82,26.61,50.0,8,3,True,False
2015-09-01,37,adidas Kids' F5 Messi FG Soccer Cleat,2,3,Baseball & Softball,97.0,35.0,1224.65001656,-116.469988857,35.0,47.0,34.99000168,33.08,21.77,62.0,9,3,True,False
